Screen Name,Tweet,Favourite count,Retweet count,Description,Location,Followers,Tweet ID,Date Created
NofNews_Nigeria,"Ritual Killersâ€™ Den uncovered in Kwara State https://t.co/PebsOCk29y
https://t.co/PebsOCk29y – 

A suspected ritual killersâ€™ den has been uncovered by the Nigeria Security and Civil... https://t.co/mMNCS1Hisp",0,0,,,113,981136736049745921,2018-04-03 11:50:01
gblcareers,British Council Nigeria Vacancy for  Deputy Security Manager - Port Harcourt or Kano https://t.co/uXRbLHpmEI via @gblcareers,0,0,,,144,981126877610901504,2018-04-03 11:10:50
KingJimi_,"@femiTRIP See ehn yes blame the animals who are involved but as a lady you need to be wise enough to avoid these situations like that, why go to such shows in a country like Nigeria where security is a joke.",0,0,"Jesus Loooovvveeees Me #Jesusgotme , what about you ? 
ChelseaFC 💙     #KTBFFH                 
I.G - King_jimi",in God's Heart,4699,981119529907638272,2018-04-03 10:41:38
iykimo,"Buhari has failed on all fronts 

Security
Infrastructure
Economy
Inclusive governance
Rule of law 
Political engagement

Nigeria has no functioning govt

Vote out these propagandists now you are still alive https://t.co/VC9DlyWiqf",2,5,"Humanist. Cityzen. Politics. Sports. Powered by Integrity.
#FactsOnly",In your heart ,8742,981109402420772864,2018-04-03 10:01:24
roadeniran,"Everything in Nigeria is designed to kill Nigerians. 
&gt;Bad roads
&gt;Poor security 
&gt;Poor Health care
&gt;Wrong governmental policies
&gt;Inefficient power 
&gt;Archaic system of education 
&gt;Incompetence everywhere
&gt;Nigerians 

May God help this country!",1,0,BSc Chemical Engineering 🎓 | black is my colour | Islam is my religion | Arsenal FC is my life (I don't know why myself),"Lagos, Nigeria",556,981103445406113795,2018-04-03 09:37:44
Ego_Ok4,"When a wound is left untreated it festers &amp; spreads infection till the entire system shuts down.
Zero security anywhere &amp; the hoodlums ve become emboldened, because there is no repercussion for their criminal acts.
One day this disease will permeate every single part of Nigeria. https://t.co/X73PuUEbtG",0,0,"Just human, mostly😉
and Lover of food🍫.",Nigeria,301,981100973669089281,2018-04-03 09:27:54
luckydubep,No Nigeria politician has ever agree to have stolen from the Government but my question is am i d 1 stealing all d money been looted? Am i the one stole all the money been recovered? How much is government salaries that even chief security will buy Estate in London? shame Nigeria,0,0,South Africa’s most popular and commercially successful reggae artists.,South Africa,153,981099017470750720,2018-04-03 09:20:08
Sam_Utaji,Graduate Cyber Security Specialist at Deloitte Nigeria - Careers in Nigeria https://t.co/NcR1ueOYMk,0,0,Disseminating the right career information,"Lagos, Nigeria",574,981094747686105089,2018-04-03 09:03:10
ndgreat715,"Till now, @MBuhari has not finished investigating an IG who disobeyed his orders. 

If it takes this long for the President to take action on an issue that borders on security of lives, imagine how long we'll have to wait for a better Nigeria.",3,2,"••Event Manager & Decorator•• | ••Procurement for Home & Office•• 
~•☎ - +234-8033860383 Call/Whatsapp.

Realist. Husband. Father. Friend. Full Blooded-Nigerian",Lagos,1624,981094482799136768,2018-04-03 09:02:07
glinkonline,"@AkinnubiOmotola @ibrahimolajeje @MrStanleyNwabia @OfficialPDPNig I agree with you bro PDP is far better than the APC. They are not after the progress of Nigeria. All they want is get power and destroy the oppositon party. Not concerned about the economy, security and well being of the people.",1,1,"Co-founder, http://t.co/nxy6RcuxeG",Akure,59,981093162738479105,2018-04-03 08:56:52
AidNews,Africa:Nigeria Assumes AU Security Council Chair for April https://t.co/KbTPIkC5JW,0,0,"News feed on humanitarian issues. For lower volume, follow @aidnews2 (same content, less tweets)",,30320,981090672668110851,2018-04-03 08:46:58
OBIZION1,"It was an orchestrated plan to Islamize all the ethnic nationalities in Nigeria,the whole security apparatus are being controlled by Moslems",0,0,,,860,981086765099507712,2018-04-03 08:31:27
NofNews_Nigeria,"FAAN Aviation Security Personnel To Be Fully Armed â€“ Minister The Minister of State for Aviation, Sen. Hadi Sirika, says Aviation Security (AVSEC) personnel of the Federal Airports Authority of... https://t.co/X67giJ9wma",0,0,,,113,981086156635828227,2018-04-03 08:29:02
JoshAdeshina,"In Nigeria people are murdered in large numbers while those meant to protect and secure them turns their back, but when it's time to bury them, they're buried with heavy security presence so their corpses can't be murdered again. Isn't Nigeria a wonderful place?",0,0,"Honesty, Loyalty, Respect | Nigerian | #MUFC",en una cita con el destino,2601,981083301267075072,2018-04-03 08:17:41
Seyigreat247,@WendyPrincea You have a point. Our govt seems clueless and unperturbed about them. Bad economic condition and no security of lives. Nigeria is hopeless.,0,0,A writer and blogger. Relationship advisor.,Nigeria,419,981081838788673536,2018-04-03 08:11:52
topukaffiliate,Job For Security Training Facilitator at Risk Control Services Nigeria Limited https://t.co/joCYUZDfu4,0,0,"ukaffiliate.org is an online resource centre for anyone interested in making money online from affiliate marketing, & any home business worldwide - Dave Cooper.",Manchester,190,981081630080106497,2018-04-03 08:11:02
DrRafiqRaji,#Security | #UN Says 34 People Might Have Died in #Nigeria Easter Attack https://t.co/X18Sx5G2Tp,0,0,Chief Economist @macroafrica | Regional Rep @ntusbfcas | Speaker | Writer @AfricanBizMag Columnist @BusinessDayNg @ForbesAfrica | X-#Africa Economist @StanChart,http://rafiqraji.com,1378,981080253467627520,2018-04-03 08:05:34
irinnews,"Tracking the cops: A new open source database is collating background info on police and security force officers in Nigeria, Egypt, and Mexico @EmmanuelFreuden https://t.co/YwSOAbcSJ5",0,0,"The world's leading provider of humanitarian news and analysis. Published from Nairobi, Bangkok, Jerusalem, Geneva & London. Subscribe: https://t.co/dx8QAdpkvN","Geneva, Switzerland",77719,981077846293610496,2018-04-03 07:56:00
DemolaRewaju,"Between Boko Haram, Herdsmen versus Farmer conflicts and this new euphemism of “armed bandits”, it’s clear that Govt is failing terribly on security especially in the Northern parts of Nigeria with no solutions forthcoming and continued attempts to divert attention and ignore. https://t.co/gnS3T3Slsi",10,36,"Creative Writer | Political Analyst & Strategist (PDP) | Husband | Father | Bola Ige was my Idol | One-Nigeria

 My DM is open.","ÜT: 6.48218,3.32987",36728,981075712370204672,2018-04-03 07:47:31
EmploymentNg,Graduate Cyber Security Specialist at Deloitte Nigeria https://t.co/0eZG8pfYDW click link for #jobs,0,0,Employees | Employment Opportunities | Employers.,Nigeria,7001,981073570846662656,2018-04-03 07:39:01
NofNews_Nigeria,Buhari asked to probe his ‘pro-Arewa’ security chiefs The Middle Belt Youth Council has asked President Muhammadu Buhari to probe service chiefs if he is serious about insecurity. In a... https://t.co/XMAt0XS1qM,0,0,,,113,981071754687791104,2018-04-03 07:31:48
cgnetwork,Africa:Nigeria Assumes AU Security Council Chair for April: [Daily Trust] Nigeria has… https://t.co/tA9uLUr4aa,0,0,Suntex Strategic Investment Ltd •Private Investment Banking •CHINA •USA •THAILAND  •PSS WORLDWIDE OF THE WORLD - HOTEL & RESORTS•CHINA•THAILAND,Thailand,1275,981068891760840704,2018-04-03 07:20:25
SpaceFM_901,"NIGERIA ASSUMES ONE-MONTH ROTATIONAL CHAIRMANSHIP OF AU  #POLITICS #TRENDING
Nigeria has assumed a one-month rotational chairmanship of the African Union Peace and Security Council (AU-PSC) for April, 2018. African... https://t.co/zDi4ONpeKa",0,0,"Best News Coverage (SouthWest,NG)
|info@spacefm901.org.ng| 
|☎+2347046333577| https://t.co/X5uPyfVHtm https://t.co/QcGyjxZhT6… https://t.co/GIB5F2UjlY via-mAPPS","136, Liberty Road, Ibadan, NG",11699,981068769605898240,2018-04-03 07:19:56
Africa,Africa:Nigeria Assumes AU Security Council Chair for April https://t.co/aRH6AKlIDc,0,0,,,2242,981067883706048512,2018-04-03 07:16:25
khalilhumam,Africa:Nigeria Assumes AU Security Council Chair for April | Khalil Humam - https://t.co/WkS9OgestX,0,0,https://t.co/PZgiOXUfA3 | https://t.co/5LGcFirpwx | International Development Speaker and Consultant,"Vancouver, British Columbia",209,981067609167757312,2018-04-03 07:15:20
deeplookers,Africa:Nigeria Assumes AU Security Council Chair for April - https://t.co/12pdTJChiZ https://t.co/VXq7QALc8p,0,0,"We are https://t.co/9pi4vEvYcd We refuse to be limited by any opinion/view. We analyse, evaluate, and look deeply. Join us. Register: https://t.co/9pi4vEvYcd.",Nigeria,78,981065272541945856,2018-04-03 07:06:02
cgnetwork,Africa:Nigeria Assumes AU Security Council Chair for April: [Daily Trust] Nigeria has… https://t.co/pbvxEayjxC,0,0,Suntex Strategic Investment Ltd •Private Investment Banking •CHINA •USA •THAILAND  •PSS WORLDWIDE OF THE WORLD - HOTEL & RESORTS•CHINA•THAILAND,Thailand,1275,981064248787918848,2018-04-03 07:01:58
ChiEzekwesili,"4 Years later, different political party acronym, same political class, same corruption, economic and security problems. Tears for my country Nigeria  #RedCardtoAPCandPDP 🔴 https://t.co/CVgJW4LQMm via @YouTube",0,0,note to self: get comfortable with being uncomfortable.,🌍,1537,981063947523624960,2018-04-03 07:00:47
Oba_Adebambo,"@Rainbow941fm #morning show....... what the government is telling us is that, the looters we now have in Nigeria is those that collectted money from formal national security adviser. Hummmmmm. Bambo from ikeja",0,0,,,10,981063683924201472,2018-04-03 06:59:44
NofNews_Nigeria,"Gulf Of Guinea Security Key To Blue Economy â€“ NIMASA DG The director-general of the Nigerian Maritime Administration and Safety Agency (NIMASA), Dr Dakuku Peterside has said that the Gulf of... https://t.co/ByiOfWglX7",0,0,,,113,981061010961219584,2018-04-03 06:49:06
news24extra,"Nigeria assumes AU security council chair for April
https://t.co/JmSJGbP3gH https://t.co/jPXGDmmOyO",0,0,"News, Politics, Entertainment, Sports, Interviews, Fashion, Religion, etc","Abuja, Nigeria",627,981054188951027713,2018-04-03 06:22:00
daily_trust,"Nigeria assumes AU security council chair for April
https://t.co/NILGauCbNp https://t.co/Ws2vENd3QG",3,1,"Our Vision: To be a world class media company that earns public trust.
Our mission: To disseminate credible information for the good of all stakeholders","Abuja, Nigeria",525246,981044045299552256,2018-04-03 05:41:41
NigeriaNewsdesk,Minister Adebayo Shittu urges Nigerians to support social security schemes https://t.co/nkvt07SgK5 via @todayng https://t.co/mumMShpAUV,0,3,Breaking news and current events from around Nigeria and abroad.,,1499079,981039592768913408,2018-04-03 05:24:00
todayng,Minister Adebayo Shittu urges Nigerians to support social security schemes https://t.co/HvfhXFxfa9 https://t.co/41bK8633se,2,0,"Latest news, trends, photos and videos from around Nigeria and world.",,119548,981039591867138048,2018-04-03 05:24:00
DrIdiok,@CTVpolitics @channelstv This @GarShehu  of a man is on top of his cluelessness. Is there national security in Nigeria? Is danjuma not saying the truth?  All year looters n yahoo boys in govt will find urselfs in prison soon. Bury ur face in shame yeah unpatriotic politician,0,0,A gr8 man of God wit an unusual prophetic anointing. A teacher & preacher of the gospel. Snr pastor of Christ Illumination Ministry Int.,uyo,26,981038739899154432,2018-04-03 05:20:37
daily_trust,"Nigeria assumes AU Security Council chair for April
https://t.co/NILGauCbNp https://t.co/t47WQsmDQI",2,0,"Our Vision: To be a world class media company that earns public trust.
Our mission: To disseminate credible information for the good of all stakeholders","Abuja, Nigeria",525246,981029213703753728,2018-04-03 04:42:45
360postBlog,Institute proffers solutions to mitigate security challenges in Nigeria Read here https://t.co/WdnNbwsPUu https://t.co/J6jMRYQ5w8,0,0,Official Twitter Account for 360post blog,,1144,981028832869339137,2018-04-03 04:41:15
daily_trust,"Nigeria assumes AU security council chair for April
https://t.co/NILGauCbNp",1,0,"Our Vision: To be a world class media company that earns public trust.
Our mission: To disseminate credible information for the good of all stakeholders","Abuja, Nigeria",525246,981027521293676544,2018-04-03 04:36:02
newslandng,"Nigeria, Sunday, assumed the one month rotational Chairmanship of the African Union Peace and Security Council (AU-PSC). The Nigeria’s Permanent Representative to the AU, Ambassador... https://t.co/7Z4HTG3b64",0,0,newslandng@gmail.com 08027775255,lagos Nigeria,650,981014783850934273,2018-04-03 03:45:25
newslandng,Nigeria Assumes Chairmanship Of AU Security And Peace Council https://t.co/7Z4HTG3b64,0,0,newslandng@gmail.com 08027775255,lagos Nigeria,650,981014767287533569,2018-04-03 03:45:21
ultrascanhumint,"20 killed in Boko Haram attack on Nigerian army base, villages: A covered-up dead body lies in the trunk of a police vehicle as members of security forces stand near the site of a suspected Boko Haram attack on the ... KANO, NIGERIA: Boko Haram killed at… https://t.co/2LJpKOVb9K",0,1,Liaison Reliable Primary #HUMINT Sources - Money Laundering - Organized Crime and the Nexus Terrorism - #security #terrorism,,2650,981012890957197312,2018-04-03 03:37:54
igbojew,"@dadiyata @itz_imaam @FalaluDorayi @angry_ustaaz @IbnBuhari_ this is how much security has improved under the APC government, Nigeria. when you promised jobs,  but gave unemployment and job loss.  What you get is criminality and chaos.",1,1,"I am a business entrepreneur, contact me for all your gym , sports wear, and fitness equipments. WhatsApp 08077949479.","Lagos, Nigeria",82,981006214422302720,2018-04-03 03:11:22
digitalbes,"Security Advice You Can Count on when it come to your computer and the internet The https://t.co/8bEowqtNua #Nigeria,#lagos,#abuja,#website",0,0,"Digitalbes a website design and ICT solution company in Nigeria. We do Website Design/Development, Training,Create Mobile App, Hosting, Domain Registration etc","Lagos, Nigeria",2867,981000028100681734,2018-04-03 02:46:47
princexcellentA,@GarShehu Please ask your President if appointing fulanis or muslims to occupy over 95% of the security positions of the country is keeping Nigeria one. Something that the constitution seriously frowns against in black and white! Little wonder fulani herdsmen terrorists are everywhere.,0,0,Love is Worship and worship is LOVE. When we love God and His Image (the human). But repentance from sin is the first step to Love God.This is our only destiny.,Port Harcourt ,177,980996996449427456,2018-04-03 02:34:44
NofNews_Nigeria,"Aviation security personnel set to carry arms â€“ FG Okechukwu Nnodim and Maureen Ihua-Maduenyi
Aviation security personnel of the Federal Airports Authority of Nigeria will soon be... https://t.co/EK4iPqERtI",0,0,,,113,980996095516921856,2018-04-03 02:31:09
travisbcurtice,"@laurakhuber @EmeryJohnR @EmilArchambault @YVeilleuxLepage @JanTattenberg @AlexEdneyBrowne @marcusmcurran @RikeFranke @ahjackman @aaronjgold2 @MaryAnneSMM @meredithloken @addelapaz @AlvinaHoffm @mzmargulies @austincdoctor @MikeWidmeier @daarnon @RambaKy @RobertUNagel @hannahlwright @j_p_eggert @8rachelharmon I recommend @hannahwaddilove #Kenya politics, @dyzenhaus land/decentralization in #Kenya, @meredithloken gender, security, &amp; violence, @mkguliford civilian victimization, @HilaryMatfess #Nigeria &amp; #Ethiopia politics.",9,0,"Studying police, political institutions, & human rights. Ph.D. Candidate @EmoryUniversity. Fellow @idn_emory & @CarterCenter. Views are my own.","Atlanta, GA, USA",366,980990102510952448,2018-04-03 02:07:21
KeLokasi,"https://t.co/Sg8c588plB Commonwealth Games, United Kingdom, Gold Coast Nigeria, Africa Computer security Android, Samsung Galaxy S6 Edge Waymo, Autonomous car, John Krafcik, Honda, Google driverless car, Alphabet Inc. Breakaway, Amazon Game Studios, Stock, Valuation,",0,0,Foto dan Video Untuk Di Upload mencari Aplikasi Terbaik Untuk Edit Cara Repost Foto Instagram Di Android dunia promosi akun sosial media indonesia dll,"Jatinegara, Indonesia",3147,980989939708936198,2018-04-03 02:06:42
KeLokasi,"https://t.co/Sg8c588plB Mitchell Johnson, Chris Lynn, England cricket team, Venky Mysore Cisco Systems, Computer security, Ransomware, Network security, Threat, Nigeria Horse racing, Ffos Las racecourse, Sports betting Blac Chyna, Six Flags, Rob Kardashian Kiss Me First,",0,0,Foto dan Video Untuk Di Upload mencari Aplikasi Terbaik Untuk Edit Cara Repost Foto Instagram Di Android dunia promosi akun sosial media indonesia dll,"Jatinegara, Indonesia",3147,980989901905657856,2018-04-03 02:06:33
57Africa,"@NGRPresident what's the presidency doing about the nation's security?! It's getting worse. People are dying in numbers. They are Nigerians. Nigeria has to fight for the well being of Nigerians. Nigeria is all we got, fight for us!",0,0,“I have had all the disadvantages required for success.” – Larry Ellison.,,20,980987889315209217,2018-04-03 01:58:33
AbusidiquBlog,Nigeria Assumes Chairmanship Of AU Peace And Security Council https://t.co/WY7m64zZUe,0,0,"Official page for http://t.co/2vwSYsZrOY. We amplify your thoughts, News and in-depth analysis on topical issues. E-mail: info@abusidiqu.com",,4690,980984879109165056,2018-04-03 01:46:35
89_nads,"@CoolFMNigeria @JuneUbi For me cheating is a choice, she's made her choice. I will also make mine by staying back by securing my job cuz there's no job security in Nigeria.
#OvernightLounge #PillowTalk",4,0,"I am ME trying to become a better ME each day...Sorry If I disappoint YOU
#Aquarius #iSeeHumansButNoHumanity 
eberechuddi@gmail.com",A Country Called Earth,611,980979075090132992,2018-04-03 01:23:31
MrAbuSidiq,Nigeria Assumes Chairmanship Of AU Peace And Security Council https://t.co/W7cQj9Gpy6,0,0,"Urban Planner | City Manager | Development Expert | Aspiring Politician | Digital Media Strategist | Publisher, https://t.co/UibvzTICHv @Abusidiqublog",Nigeria,36206,980977428536291328,2018-04-03 01:16:59
NofNews_Nigeria,"Nigerian Aviation Security Personnel To Carry Firearms Soon â€“ Minister 0 Comments

Sahara Reporters
Nigerian Aviation Security Personnel To Carry Firearms Soon â€“ Minister

7 Hours Ago

 https://t.co/s4uZdBsix8 https://t.co/jdGp1XNJUD",0,0,,,113,980971452466790400,2018-04-03 00:53:14
AboriginePro,"In an effort to determine the top security agency in Nigeria, the eminent judges narrowed the field to three finalists: the SSS, the Army and the Nigeria Police Force. The three contenders were given the... https://t.co/bgCTrsMmuT",0,0,"A Film Maker, Singer/Songwriter. I do a lot of traveling, especially around Africa. Have pictures. Adventurous, will try new things for the heck of it!",Togo,330,980965685751959553,2018-04-03 00:30:19
AyodeleOtaiku,"Nigeria Herdsman Grazing Solution, Google search- Ecological Grazing management, Food security and Surveillance in Nigeria by Ayodele A.Otaiku",0,0,,,11,980964257411096578,2018-04-03 00:24:39
durosope,"@Chydee @PoliceNG @GovUgwuanyi @PoliceNG_Enugu @iamekweremadu @phynofino @2niteFlavour @ConnectEnugu @StandtoEndRape @WAR_Nigeria I think you should see if you can  get some of the ladies who were molested to seek legal action against the organisers plus they should be ""blacklisted"" for putting a concert together and not being able to provide adequate security. My 2 cents",1,0,"Passionate about life and people; bleed green and white, red and blaugrana",Lagos,214,980950819007758336,2018-04-02 23:31:15
Worldstagegroup,Minister urges Nigerians to support Social Security Scheme to tackle extreme poverty #BusinessDay #MrAdebayoShittu #nigeria #SocialSecurityScheme https://t.co/TNBsorwQO5 https://t.co/jlJHzaTvmg,0,0,https://t.co/Qsywjub3Cc https://t.co/MORN7vdk5V,"Lagos, Nigeria",24683,980948512211984385,2018-04-02 23:22:05
femizoet,"@GeniusJokerNG @valantinodaniel It's Nigeria... security guards open gates, greet and collect rice during festive periods",3,1,Seasonal!,abuja nigeria,454,980939961733132295,2018-04-02 22:48:06
IfejikaMoses,@realDonaldTrump @EmmanuelMacron the Nigeria security forces is all terrorist they are massacring the innocent Nigerians especially the Christians under the guise of Fulani herdsmen all the attacks is carrying on in nights,0,0,,,10,980938920098713601,2018-04-02 22:43:58
Shangudar,Nigeria Assumes Chairmanship Of AU Peace And Security Council https://t.co/IolISjMAk3 https://t.co/dLhfJoR8U4,0,1,"Official Twitter account of Usman, Abbass Babayo of Nigeria, Tweets are my views (RT, following does not constitute endorsement) | Future sophisticated investor",Nigeria,7477,980938171088191488,2018-04-02 22:40:59
ASU_IRLS,Security forces in #Nigeria are said to be fighting with members of the #BokoHaram insurgency group as shots and explosions are heard in the city of Maiduguri @AJEnglish https://t.co/Sa8bKHuaKC,0,0,International Rule of Law & Security Program I Sandra Day O'Connor College of Law I #SunDevilsinDC,"Washington, DC",177,980936679241510912,2018-04-02 22:35:03
SERAPNigeria,"@GEJonathan Did your former National Security Adviser (NSA), Col. Sambo Dasuki (rtd) seek your approval to collect from the Central Bank of Nigeria the over $2 billion meant for purchase of arms for Nigerian soldiers? #BokoHaramArmsScandal",3,1,"SERAP is a nonprofit, nonpartisan, legal & advocacy org. devoted to promoting transparency, accountability & respect for socio-economic rights in Nigeria.",Lagos Nigeria,21693,980935368169197568,2018-04-02 22:29:51
riskmap_,Two Injured As Soldiers Open Fire To Protect Gombe Senator #Nigeria #Security https://t.co/Ow6piJmsc5 https://t.co/thyS1oFJLa,0,2,"Official twitter of RiskMap the free security, health, hazard, humanitarian and political risk platform. #riskmap","Cardiff, Wales",15223,980934883492036608,2018-04-02 22:27:55
careerpathNG,Vacancy for Country Safety and Security Manager – Nigeria at Mercy Corps https://t.co/16HDUPPhJm,0,0,CareerpathNG is a job recruiting website where potential job seekers meet their employers. Posting and applying for jobs is free. Why not give it a try?,Nigeria,47,980927222730149888,2018-04-02 21:57:29
WePushContent,Minister #AdebayoShittu urges #Nigerians to support social security schemes https://t.co/XWyRO3m0my @TodayNGR,0,0,we curate nigerian longreads,Nigeria ,1035,980924590615445504,2018-04-02 21:47:01
NigeriaNewsdesk,Minister Adebayo Shittu urges Nigerians to support social security schemes https://t.co/ilIIiOJlLH via @todayng https://t.co/ZRFnUTdV4n,6,3,Breaking news and current events from around Nigeria and abroad.,,1499079,980920060494532608,2018-04-02 21:29:01
todayng,Minister Adebayo Shittu urges Nigerians to support social security schemes https://t.co/vXimX32G3N https://t.co/7QEZWsrypN,0,1,"Latest news, trends, photos and videos from around Nigeria and world.",,119548,980919065765019648,2018-04-02 21:25:04
